 1 03 34 51.51 -35 44 02.8 20.3 21.0 1369  68
 2 03 36 22.28 -35 36 34.3 19.7 20.4 1462  76
 3 03 36 26.72 -35 22 01.6 19.1 20.1 1499 117
 4 03 36 27.74 -35 14 13.9 18.9 20.2 1297  45
 5 03 36 28.70 -34 56 30.7 ---  21.1 1658  65
 6 03 36 34.36 -35 19 32.5 19.9 21.0 1817 104 GC230.7
 7 03 36 47.65 -35 29 36.9 19.9 20.9 1446  89
 8 03 36 47.74 -35 48 34.1 20.3 20.9 1340  91
 9 03 36 51.68 -35 30 38.9 20.2 21.3 1375  46 GC41.40
10 03 37 03.30 -35 38 04.6 18.6 19.9 1491  39 UCD 1, 2-2031
11 03 37 24.91 -35 36 09.7 19.6 20.3 1496  55
12 03 37 27.61 -35 30 12.6 19.4 20.5 1828  77 GC46.30
13 03 37 38.29 -35 20 20.6 20.4 21.3 2226  87
14 03 37 41.85 -35 41 22.8 20.2 21.3 1175  61 2-078
15 03 37 43.06 -35 22 11.9 20.2 20.7 1146  86
16 03 37 43.56 -35 15 09.6 20.4 18.9 1641  99 4-2028
17 03 37 43.60 -35 22 51.8 19.2 20.1 1326  82 GC302.3
18 03 37 45.13 -35 29 01.6 19.9 20.9 1641  63 GC85.30
19 03 38 05.08 -35 24 09.6 18.4 19.4 1212  32 UCD 6, 2-2143
20 03 38 06.33 -35 28 58.8 18.7 ---  1312  57 UCD 2, 2-2111, 91:93
21 03 38 06.53 -35 23 04.0 19.6 20.5 1510  64 2-2153
22 03 38 09.27 -35 35 07.0 20.2 21.4 1806  58 GC445.7
23 03 38 10.39 -35 24 06.1 18.9 20.1 1549  64 81:47
24 03 38 10.78 -35 25 46.0 19.4 20.5 1764  55 2-2134
25 03 38 12.02 -35 39 57.2 19.7 21.2 1307  63 2-073
26 03 38 14.25 -35 26 43.8 20.3 21.5 1377  96 GC365.2
27 03 38 16.54 -35 26 19.7 19.7 20.6 1125 101 0-2024
28 03 38 17.61 -35 33 02.8 19.8 20.8 1505  92 89:22
29 03 38 18.48 -35 27 39.8 20.3 21.3 1332  63 0-2062, 89:107
30 03 38 21.73 -35 26 16.5 ---  21.0 1403  76 80:12
31 03 38 21.84 -35 25 13.8 ---  20.5 1411 170 80:30
32 03 38 23.27 -35 20 00.8 19.8 20.7 1370  64 0-2066
33 03 38 23.78 -35 13 49.5 19.3 20.2 1993 199 3-2027
34 03 38 25.08 -35 29 25.3 20.2 21.1 1158  64 2-2106
35 03 38 25.56 -35 37 42.8 19.6 20.5 1698  52 1-2024
36 03 38 26.76 -35 30 07.7 20.1 21.1 1475  72 0-2069
37 03 38 28.83 -35 28 47.1 ---  21.1 1460  77 GC212.2
38 03 38 29.04 -35 22 56.5 19.5 20.5 1720  74 0-2031
39 03 38 29.07 -35 25 00.3 ---  20.7 1491  73 78:117
40 03 38 36.86 -35 28 09.5 20.2 20.8 1365  56
41 03 38 36.99 -35 25 44.2 ---  21.0 1322  87
42 03 38 39.37 -35 27 05.8 20.4 21.4 1644 135 1-058
43 03 38 40.23 -35 27 03.1 ---  20.8 1230 112
44 03 38 41.98 -35 33 13.4 19.2 19.8 2080 148 1-021
45 03 38 43.14 -35 28 01.5 20.2 21.0 1574 117
46 03 38 45.81 -35 34 27.4 20.1 20.6 1845  87
47 03 38 47.49 -35 37 13.5 20.0 21.1 1893  68
48 03 38 50.73 -35 33 48.3 20.4 20.4 1887 105
49 03 38 54.10 -35 33 33.6 17.0 17.7 1591  36 UCD 3, 1-2053
50 03 39 17.72 -35 25 30.2 19.9 20.8 1022  46 1-060, GC241.1
51 03 39 20.56 -35 19 14.6 18.9 20.2 1420  64 3-2004
52 03 39 34.78 -35 53 44.2 20.0 20.7 1528  74
53 03 39 35.95 -35 28 24.5 18.4 18.8 1920  40 UCD 4, 1-2083
54 03 39 37.21 -35 15 21.7 20.0 20.9 1800  93 3-2019
55 03 39 43.56 -35 26 59.5 19.6 20.0 1448 101
56 03 39 52.58 -35 04 24.1 19.0 19.7 1355  72 UCD 5
57 03 40 19.94 -35 15 29.8 20.1 21.1 1650  74
58 03 40 24.98 -35 06 37.6 19.8 20.5 1433  59
59 03 40 37.11 -34 58 40.0 20.1 21.3 1811 159
60 03 41 35.88 -35 54 57.8 19.8 21.0 1629  57
