019 03 22 22.92 -37 23 50.3 15.2 1497 1 -191.87 -116.82 226.71 dS0(8),N
036 03 25 12.25 -32 54 09.7 15.9 2325 1 -167.24  152.86 224.74 dE4 pec,N
043 03 26 02.46 -32 53 41.5 13.5 1223 1 -156.71  153.33 217.58 dS0/2(5),N
055 03 27 18.05 -34 31 33.9 13.9 1252 2 -138.19   55.45 148.18 S0(9),N
068 03 28 51.97 -33 50 45.3 16.5 2030 2 -119.81   96.26 152.8  dE5,N
081 03 30 10.12 -33 41 35.8 17.1 1893 2 -103.77  105.42 147.16 dE1,N
082 03 30 30.52 -34 15 36.0 16.4 1157 3  -98.86   71.42 121.39 dE1,N
085 03 30 46.21 -35 32 57.9 16.3 1673 2  -94.13   -5.95  94.38 dE0,N
100 03 31 47.67 -35 03 05.5 15.5 1660 1  -82.14   23.92  85.36 dE4,N
101 03 31 46.90 -35 40 32.4 17.2 1051 2  -81.66  -13.52  82.88 dE0,N or S
106 03 32 47.77 -34 14 18.9 15.1 2066 2  -70.52   72.70 100.93 d:S0(6),N
111 03 33 03.64 -33 43 27.8 16.8 1283 3  -67.65  103.55 123.31 dE0,N
116 03 33 12.83 -36 01 02.4 16.1 1204 2  -63.93  -34.02  72.62 dE1,N
134 03 34 21.80 -34 35 33.4 17.6 1381 2  -50.88   51.46  72.18 dE5 pec,N or E
135 03 34 30.89 -34 17 51.0 15.5 1232 2  -49.18   69.17  84.67 dS0(5),N
136 03 34 29.54 -35 32 45.9 14.8 1206 2  -48.71   -5.75  49.08 dE2,N
150 03 35 24.06 -36 21 49.2 15.7 1411 2  -37.23  -54.80  66.38 dE4,N
164 03 36 12.94 -36 09 59.0 16.4 1427 2  -27.46  -42.97  51.06 dS0(5),N
174 03 36 45.47 -33 00 48.8 16.7 1801 2  -21.70  146.20 147.76 dE1,N or E(cD)
181 03 36 53.21 -34 56 17.3 17.2 1113 3  -19.63   30.73  36.43 dE2,N
188 03 37 04.66 -35 35 24.0 16.1 1046 2  -17.15   -8.38  19.10 dE0,N
195 03 37 23.41 -34 54 00.1 16.7 1315 3  -13.45   33.02  35.63 dE5,N
202 03 38 06.55 -35 26 22.7 15.3  825 2   -4.57    0.64   4.62 d:E6,N
203 03 38 09.25 -34 31 05.8 15.5 1124 2   -4.07   55.92  56.07 dE6,N
204 03 38 13.76 -33 07 36.0 14.9 1364 2   -3.19  139.42 139.45 dS0(8),N
205 03 38 07.22 -38 05 43.8 16.9 1450 2   -4.29 -158.71 158.77 dE1,N?
207 03 38 19.27 -35 07 43.4 15.9 1403 2   -1.99   19.29  19.40 dE2,N
208 03 38 18.80 -35 31 49.4 17.3 1720 4   -2.08   -4.81   5.24 dE2,N
211 03 38 21.48 -35 15 34.6 16.3 2260 2   -1.54   11.44  11.54 d:E2,N
221 03 39 05.78 -36 05 55.2 17.7 1724 3    7.43  -38.90  39.61 dE4,N
222 03 39 13.42 -35 22 15.7 15.6  792 2    9.05    4.76  10.22 dE0,N
223 03 39 19.60 -35 43 29.0 16.2  781 2   10.27  -16.47  19.42 dE0,N
230 03 40 01.30 -34 45 28.5 17.2 1088 2   18.96   41.54  45.63 dE5,N
241 03 40 23.41 -35 16 32.8 16.6 2045 3   23.35   10.47  25.57 dE0,N
243 03 40 27.02 -36 29 56.1 16.5 1404 1   23.72  -62.92  67.30 dE1,N
245 03 40 33.86 -35 01 21.4 16.0 2187 2   25.56   25.66  36.17 dE0,N
252 03 40 50.38 -35 44 53.5 16.0 1415 1   28.68  -17.87  33.84 dE0,N
253 03 40 55.34 -37 50 16.8 16.3 1677 1   28.89 -143.26 146.24 dE5,N?
254 03 41 00.77 -35 44 31.1 17.6 1517 3   30.80  -17.50  35.47 dE0,N
255 03 41 03.55 -33 46 43.2 13.7 1271 2   32.12  100.30 105.22 S0 (6),N
260 03 41 12.79 -35 09 29.8 17.0 1493 2   33.48   17.52  37.73 dE0,N
261 03 41 21.53 -33 46 09.2 15.8 1492 1   35.85  100.86 106.93 dE3 pec,N / ImIV
264 03 41 31.83 -35 35 20.9 16.8 1888 2   37.17   -8.33  38.12 dS0 (8),N
266 03 41 41.31 -35 10 12.5 15.9 1551 1   39.30   16.81  42.68 dE0,N
274 03 42 17.31 -35 32 25.7 16.5  950 2   46.44   -5.41  46.78 dE0,N
278 03 42 27.27 -33 52 14.2 16.8 2125 1   49.46   94.78 106.69 dE6,N
286 03 43 12.69 -34 38 35.0 18.1 1673 2   58.35   48.43  75.61 dE0,N?
288 03 43 22.77 -33 56 19.5 15.4 1088 2   60.93   90.69 108.95 dS0(9),N
296 03 44 32.94 -35 11 44.8 16.3  856 2   74.35   15.27  75.79 dE1,N
298 03 44 44.41 -35 41 00.5 16.6 1620 2   76.23  -13.99  77.61 dE2,N
303 03 45 14.08 -36 56 12.4 15.5 1980 1   80.94  -89.19 120.97 dE1,N
316 03 47 01.52 -36 26 14.9 16.3 1546 1  103.08  -59.23 119.45 dE3,N
319 03 47 16.32 -32 18 07.6 16.4 1445 1  111.43  188.89 218.29 dE6,N
