T17-1002 200.909654 -42.773053 18.87  9.13  2.40 18.09
T17-1008 200.926390 -43.160493 19.54 15.29  2.82 18.76
T17-1020 200.956660 -43.242243 19.09  6.73  2.10 18.62
T17-1050 200.994829 -43.026381 19.31 10.01  2.75 18.70
T17-1110 201.075206 -42.816957 18.91  6.53  2.39 18.16
T17-1188 201.153561 -43.321188 19.42  9.03  2.31 18.73
T17-1197 201.162357 -43.335133 18.72  3.86  2.09 18.38
T17-1202 201.168229 -43.301482 18.46  6.36  2.46 17.93
T17-1203 201.168337 -43.584709 19.44  7.22  2.50 18.73
T17-1207 201.170003 -42.683779 18.69  2.71  1.91 18.43
T17-1232 201.194548 -43.021799 19.43  8.58  3.10 18.74
T17-1243 201.200123 -43.137294 18.82  4.90  2.56 18.30
T17-1260 201.211852 -43.023042 19.13  5.19  2.98 18.77
T17-1264 201.214461 -43.203099 18.86  4.47  2.58 18.24
T17-1284 201.226439 -42.890201 17.39  3.29  2.03 17.10
T17-1287 201.227938 -43.022712 18.20  5.12  2.74 17.78
T17-1313 201.239246 -43.018940 18.47  4.11  2.49 18.27
T17-1314 201.239568 -42.989816 19.13  7.50  3.06 18.58
T17-1322 201.242499 -42.936123 17.98  3.03  2.47 17.60
T17-1347 201.254756 -42.947666 18.94  4.20  2.42 18.62
T17-1358 201.257506 -43.157080 18.58 10.72  3.02 17.82
T17-1375 201.263984 -42.846132 18.64  3.58  2.33 18.32
T17-1386 201.269934 -43.160808 18.99  9.41  2.77 18.43
T17-1388 201.270881 -42.954239 17.53  3.96  2.15 17.27
T17-1395 201.273696 -43.175240 18.24  3.95  2.52 17.85
T17-1400 201.275932 -43.253251 19.12  8.39  2.78 18.52
T17-1430 201.292744 -42.892504 18.16  4.91  2.65 17.65
T17-1432 201.293668 -42.747977 18.30  5.61  2.37 17.72
T17-1447 201.300810 -43.276086 19.30  6.39  2.29 18.72
T17-1455 201.303631 -43.133121 18.27  3.41  2.16 18.06
T17-1486 201.317717 -42.848126 18.91  8.17  2.58 18.31
T17-1596 201.376623 -43.197138 19.05 13.03  3.02 18.46
T17-1611 201.382221 -43.322982 19.08  8.44  2.36 18.48
T17-1616 201.386606 -43.117305 18.95  4.60  2.66 18.63
T17-1639 201.395821 -42.601374 18.90  5.17  2.35 18.41
T17-1664 201.407701 -42.941120 18.87  3.08  2.85 18.76
T17-1682 201.415494 -42.933094 18.04  8.38  2.86 17.48
T17-1688 201.419139 -43.353852 18.68  4.35  2.36 18.26
T17-1719 201.430767 -43.123036 18.60  9.20  2.93 18.01
T17-1773 201.457002 -42.913691 18.31  6.30  2.72 17.83
T17-1780 201.458071 -42.869243 19.07  5.22  2.69 18.58
T17-1805 201.469692 -43.096254 18.20  4.98  2.51 17.74
T17-1814 201.473123 -42.985426 18.37  4.49  2.64 18.01
T17-1887 201.505241 -43.570995 18.83  5.73  2.46 18.26
T17-1899 201.511786 -42.949167 18.81  4.74  3.05 18.46
T17-1920 201.522473 -42.942327 17.56  5.45  2.54 17.02
T17-1940 201.532144 -42.866721 18.67  4.95  2.33 18.26
T17-1957 201.544021 -42.895178 18.53  3.20  2.15 18.37
T17-1973 201.563543 -42.808167 18.43  5.518 2.57 18.18
T17-1974 201.566080 -42.916914 18.12  1.76  1.78 17.89
T17-1989 201.581834 -43.055186 19.15  6.43  2.63 18.65
T17-2013 201.599019 -42.900293 18.69  5.35  2.27 18.37
T17-2018 201.600676 -42.783526 18.84  6.78  2.37 18.41
T17-2064 201.660367 -42.762706 19.08  8.37  2.61 18.50
T17-2091 201.689029 -43.442810 19.06  4.47  2.13 18.59
T17-2107 201.724630 -43.321591 18.50  3.90  2.02 18.19
T17-2133 201.764179 -42.454757 18.66  3.99  2.27 18.27
