CCOS J1250.02-4121.45 12 50 01.23 -41 21 26.83 21.06 0.40 4835  60 2.76 0.36 4.13 0.55 
CCOS J1248.54-4119.64 12 48 32.64 -41 19 38.20 21.08 0.47 3854  69 2.20 0.27 2.83 0.36 
CCOS J1248.79-4117.15 12 48 47.61 -41 17 09.12 21.10 0.50 2882  54 4.15 0.25 6.69 0.36  6.12 0.45
CCOS J1248.06-4111.40 12 48 03.76 -41 11 24.30 21.15 0.58 2768  89 2.80 0.20 2.96 0.27 
CCOS J1248.54-4121.90 12 48 32.48 -41 21 54.07 21.22 0.51 3279  75 3.51 0.30 4.07 0.42 
CCOS J1248.70-4121.11 12 48 41.75 -41 21 06.76 21.57 0.50 2521 123 3.56 0.40 2.78 0.57 
CCOS J1250.11-4114.59 12 50 06.57 -41 14 35.28 21.57 0.45 4430  66 2.70 0.35 2.44 0.47 
CCOS J1249.71-4120.63 12 49 42.63 -41 20 38.04 21.59 0.43 5184  55 2.29 0.35 3.34 0.48 
CCOS J1248.79-4116.00 12 48 47.69 -41 16 00.11 21.75 0.46 3140  63 3.73 0.28 5.54 0.40 
CCOS J1248.74-4118.58 12 48 44.70 -41 18 35.03 21.76 0.44 2189 114 1.34 0.59 3.35 0.74 29.49 0.64
CCOS J1248.76-4118.70 12 48 45.56 -41 18 42.21 21.77 0.55 2828  45 4.15 0.47 6.09 0.68  4.36 0.30
CCOS J1248.74-4119.74 12 48 44.33 -41 19 44.37 21.79 0.40 3138  56 4.28 0.35 5.77 0.49  7.02 0.25
CCOS J1250.03-4122.68 12 50 01.77 -41 22 40.60 21.84 0.54 4538  66 0.96 0.61 3.53 0.85  6.18 0.83
CCOS J1248.63-4115.71 12 48 37.77 -41 15 42.37 21.87 0.39 2524  88 2.61 0.47 2.40 0.65 
CCOS J1249.07-4120.77 12 49 03.99 -41 20 45.96 21.88 0.37 2453 140 0.87 0.39 3.24 0.51 
CCOS J1249.36-4121.57 12 49 21.64 -41 21 34.16 22.09 0.42 2790  96 2.44 0.58 4.76 0.76 
CCOS J1249.99-4124.45 12 49 59.21 -41 24 27.18 22.10 0.36 5000  80 1.47 0.62 3.59 0.88  8.94 1.31
CCOS J1248.97-4120.01 12 48 58.25 -41 20 00.52 22.12 0.52 2962  98 1.88 0.45 5.89 0.62 
CCOS J1248.65-4120.34 12 48 39.28 -41 20 20.58 22.13 0.55 3303  69 3.55 0.53 4.88 0.76 
CCOS J1248.74-4118.95 12 48 44.11 -41 18 56.87 22.17 0.53 3213  53 2.35 0.65 4.66 0.90  7.77 1.32
CCOS J1248.70-4118.23 12 48 41.99 -41 18 13.77 22.18 0.48 2822  55 3.47 0.43 5.96 0.60 10.17 0.98
CCOS J1250.07-4121.16 12 50 04.49 -41 21 09.37 22.18 0.43 4952  80 0.09 0.92 0.72 1.25 
CCOS J1248.72-4121.23 12 48 43.02 -41 21 13.54 22.23 0.58 2582  99 2.26 0.60 3.21 0.86 
CCOS J1249.41-4118.64 12 49 24.85 -41 18 38.15 22.23 0.58 2206  79 3.42 0.60 5.58 0.76 
CCOS J1248.91-4117.70 12 48 54.64 -41 17 42.05 22.29 0.43 2909 120 1.78 0.67 3.93 0.88 
CCOS J1248.99-4118.08 12 48 59.65 -41 18 04.51 22.31 0.53 2806  75 2.15 0.66 4.72 0.91 
CCOS J1248.62-4120.63 12 48 37.13 -41 20 37.79 22.34 0.52 3741  85 2.96 0.61 4.48 0.87 
